index,stocks
NIFTY SMALLCAP 250,ITI
NIFTY SMALLCAP 250,JBMA
NIFTY SMALLCAP 250,MCX
NIFTY SMALLCAP 250,CHENNPETRO
NIFTY SMALLCAP 250,ATHERENERG
NIFTY SMALLCAP 250,MRPL
NIFTY SMALLCAP 250,DATAPATTNS
NIFTY SMALLCAP 250,HINDCOPPER
NIFTY SMALLCAP 250,NETWEB
NIFTY SMALLCAP 250,ACMESOLAR
NIFTY SMALLCAP 250,KAYNES
NIFTY SMALLCAP 250,OLECTRA
NIFTY SMALLCAP 250,TEJASNET
NIFTY SMALLCAP 250,MANAPPURAM
NIFTY SMALLCAP 250,ANGELONE
NIFTY SMALLCAP 250,CDSL
NIFTY SMALLCAP 250,JPPOWER
NIFTY SMALLCAP 250,NBCC
NIFTY SMALLCAP 250,FORCEMOT
NIFTY SMALLCAP 250,MMTC
NIFTY SMALLCAP 250,AMBER
NIFTY SMALLCAP 250,PGEL
NIFTY SMALLCAP 250,BANDHANBNK
NIFTY SMALLCAP 250,HSCL
NIFTY SMALLCAP 250,LAURUSLABS
NIFTY SMALLCAP 250,MGL
NIFTY SMALLCAP 250,GSPL
NIFTY SMALLCAP 250,GRSE
NIFTY SMALLCAP 250,PVRINOX
NIFTY SMALLCAP 250,OLAELEC
NIFTY SMALLCAP 250,PRAJIND
NIFTY SMALLCAP 250,NATCOPHARM
NIFTY SMALLCAP 250,ZENTEC
NIFTY SMALLCAP 250,RBLBANK
NIFTY SMALLCAP 250,HFCL
NIFTY SMALLCAP 250,SYRMA
NIFTY SMALLCAP 250,GMDCLTD
NIFTY SMALLCAP 250,INOXWIND
NIFTY SMALLCAP 250,CAMS
NIFTY SMALLCAP 250,ANANTRAJ
NIFTY SMALLCAP 250,J&KBANK
NIFTY SMALLCAP 250,SAGILITY
NIFTY SMALLCAP 250,KFINTECH
NIFTY SMALLCAP 250,IFCI
NIFTY SMALLCAP 250,HBLENGINE
NIFTY SMALLCAP 250,DELHIVERY
NIFTY SMALLCAP 250,RPOWER
NIFTY SMALLCAP 250,NCC
NIFTY SMALLCAP 250,TARIL
NIFTY SMALLCAP 250,GESHIP
NIFTY SMALLCAP 250,SCI
NIFTY SMALLCAP 250,APTUS
NIFTY SMALLCAP 250,NAVINFLUOR
NIFTY SMALLCAP 250,SAMMAANCAP
NIFTY SMALLCAP 250,AEGISLOG
NIFTY SMALLCAP 250,IEX
NIFTY SMALLCAP 250,REDINGTON
NIFTY SMALLCAP 250,BALRAMCHIN
NIFTY SMALLCAP 250,CHOLAHLDNG
NIFTY SMALLCAP 250,ZEEL
NIFTY SMALLCAP 250,CGCL
NIFTY SMALLCAP 250,BEML
NIFTY SMALLCAP 250,ASAHIINDIA
NIFTY SMALLCAP 250,JWL
NIFTY SMALLCAP 250,PPLPHARMA
NIFTY SMALLCAP 250,KARURVYSYA
NIFTY SMALLCAP 250,PCBL
NIFTY SMALLCAP 250,NEWGEN
NIFTY SMALLCAP 250,CROMPTON
NIFTY SMALLCAP 250,TRIDENT
NIFTY SMALLCAP 250,KSB
NIFTY SMALLCAP 250,JINDALSAW
NIFTY SMALLCAP 250,IIFL
NIFTY SMALLCAP 250,WOCKPHARMA
NIFTY SMALLCAP 250,SUNTV
NIFTY SMALLCAP 250,HAPPSTMNDS
NIFTY SMALLCAP 250,JMFINANCIL
NIFTY SMALLCAP 250,FINCABLES
NIFTY SMALLCAP 250,ABREL
NIFTY SMALLCAP 250,IRCON
NIFTY SMALLCAP 250,CASTROLIND
NIFTY SMALLCAP 250,RADICO
NIFTY SMALLCAP 250,JKTYRE
NIFTY SMALLCAP 250,AADHARHFC
NIFTY SMALLCAP 250,TITAGARH
NIFTY SMALLCAP 250,POONAWALLA
NIFTY SMALLCAP 250,ENGINERSIN
NIFTY SMALLCAP 250,CENTRALBK
NIFTY SMALLCAP 250,GRAPHITE
NIFTY SMALLCAP 250,HEG
NIFTY SMALLCAP 250,ASTERDM
NIFTY SMALLCAP 250,CUB
NIFTY SMALLCAP 250,GPIL
NIFTY SMALLCAP 250,IGIL
NIFTY SMALLCAP 250,AIIL
NIFTY SMALLCAP 250,FIVESTAR
NIFTY SMALLCAP 250,CESC
NIFTY SMALLCAP 250,ACE
NIFTY SMALLCAP 250,PNBHOUSING
NIFTY SMALLCAP 250,CEATLTD
NIFTY SMALLCAP 250,INOXINDIA
NIFTY SMALLCAP 250,JBCHEPHARM
NIFTY SMALLCAP 250,RAILTEL
NIFTY SMALLCAP 250,JYOTICNC
NIFTY SMALLCAP 250,ANANDRATHI
NIFTY SMALLCAP 250,BSOFT
NIFTY SMALLCAP 250,NH
NIFTY SMALLCAP 250,NUVAMA
NIFTY SMALLCAP 250,LEMONTREE
NIFTY SMALLCAP 250,KEC
NIFTY SMALLCAP 250,GRANULES
NIFTY SMALLCAP 250,KIRLOSENG
NIFTY SMALLCAP 250,MSUMI
NIFTY SMALLCAP 250,FIRSTCRY
NIFTY SMALLCAP 250,TATACHEM
NIFTY SMALLCAP 250,SWANCORP
NIFTY SMALLCAP 250,INTELLECT
NIFTY SMALLCAP 250,TECHNOE
NIFTY SMALLCAP 250,GRAVITA
NIFTY SMALLCAP 250,AAVAS
NIFTY SMALLCAP 250,BLUEJET
NIFTY SMALLCAP 250,ABSLAMC
NIFTY SMALLCAP 250,HOMEFIRST
NIFTY SMALLCAP 250,SIGNATURE
NIFTY SMALLCAP 250,ECLERX
NIFTY SMALLCAP 250,AFFLE
NIFTY SMALLCAP 250,CHAMBLFERT
NIFTY SMALLCAP 250,BAYERCROP
NIFTY SMALLCAP 250,DOMS
NIFTY SMALLCAP 250,CYIENT
NIFTY SMALLCAP 250,TRIVENI
NIFTY SMALLCAP 250,WELSPUNLIV
NIFTY SMALLCAP 250,ARE&M
NIFTY SMALLCAP 250,BATAINDIA
NIFTY SMALLCAP 250,SAILIFE
NIFTY SMALLCAP 250,DEEPAKFERT
NIFTY SMALLCAP 250,NEULANDLAB
NIFTY SMALLCAP 250,AARTIIND
NIFTY SMALLCAP 250,STARHEALTH
NIFTY SMALLCAP 250,FSL
NIFTY SMALLCAP 250,DBREALTY
NIFTY SMALLCAP 250,NAVA
NIFTY SMALLCAP 250,CHOICEIN
NIFTY SMALLCAP 250,CREDITACC
NIFTY SMALLCAP 250,CCL
NIFTY SMALLCAP 250,CERA
NIFTY SMALLCAP 250,RCF
NIFTY SMALLCAP 250,BLS
NIFTY SMALLCAP 250,JSWCEMENT
NIFTY SMALLCAP 250,ZENSARTECH
NIFTY SMALLCAP 250,LTFOODS
NIFTY SMALLCAP 250,ABFRL
NIFTY SMALLCAP 250,RELINFRA
NIFTY SMALLCAP 250,EMCURE
NIFTY SMALLCAP 250,MANYAVAR
NIFTY SMALLCAP 250,ELGIEQUIP
NIFTY SMALLCAP 250,JUBLINGREA
NIFTY SMALLCAP 250,AEGISVOPAK
NIFTY SMALLCAP 250,IKS
NIFTY SMALLCAP 250,BRIGADE
NIFTY SMALLCAP 250,RKFORGE
NIFTY SMALLCAP 250,ELECON
NIFTY SMALLCAP 250,LATENTVIEW
NIFTY SMALLCAP 250,VTL
NIFTY SMALLCAP 250,DEVYANI
NIFTY SMALLCAP 250,SARDAEN
NIFTY SMALLCAP 250,INDIAMART
NIFTY SMALLCAP 250,HONASA
NIFTY SMALLCAP 250,WHIRLPOOL
NIFTY SMALLCAP 250,RRKABEL
NIFTY SMALLCAP 250,CLEAN
NIFTY SMALLCAP 250,KAJARIACER
NIFTY SMALLCAP 250,POLYMED
NIFTY SMALLCAP 250,USHAMART
NIFTY SMALLCAP 250,CAPLIPOINT
NIFTY SMALLCAP 250,ONESOURCE
NIFTY SMALLCAP 250,EMAMILTD
NIFTY SMALLCAP 250,WELCORP
NIFTY SMALLCAP 250,GODIGIT
NIFTY SMALLCAP 250,MAHSEAMLES
NIFTY SMALLCAP 250,ALOKINDS
NIFTY SMALLCAP 250,MAPMYINDIA
NIFTY SMALLCAP 250,SONATSOFTW
NIFTY SMALLCAP 250,BLUEDART
NIFTY SMALLCAP 250,INDGN
NIFTY SMALLCAP 250,PTCIL
NIFTY SMALLCAP 250,RAINBOW
NIFTY SMALLCAP 250,KPIL
NIFTY SMALLCAP 250,EIDPARRY
NIFTY SMALLCAP 250,CRAFTSMAN
NIFTY SMALLCAP 250,JYOTHYLAB
NIFTY SMALLCAP 250,LALPATHLAB
NIFTY SMALLCAP 250,KIRLOSBROS
NIFTY SMALLCAP 250,FINPIPE
NIFTY SMALLCAP 250,METROPOLIS
NIFTY SMALLCAP 250,KIMS
NIFTY SMALLCAP 250,NSLNISP
NIFTY SMALLCAP 250,TTML
NIFTY SMALLCAP 250,SBFC
NIFTY SMALLCAP 250,SUMICHEM
NIFTY SMALLCAP 250,GILLETTE
NIFTY SMALLCAP 250,SAREGAMA
NIFTY SMALLCAP 250,CANFINHOME
NIFTY SMALLCAP 250,TBOTEK
NIFTY SMALLCAP 250,SOBHA
NIFTY SMALLCAP 250,RAMCOCEM
NIFTY SMALLCAP 250,CONCORDBIO
NIFTY SMALLCAP 250,ERIS
NIFTY SMALLCAP 250,SHYAMMETL
NIFTY SMALLCAP 250,TIMKEN
NIFTY SMALLCAP 250,RITES
NIFTY SMALLCAP 250,COHANCE
NIFTY SMALLCAP 250,ALKYLAMINE
NIFTY SMALLCAP 250,TRITURBINE
NIFTY SMALLCAP 250,SCHNEIDER
NIFTY SMALLCAP 250,SAPPHIRE
NIFTY SMALLCAP 250,ZFCVINDIA
NIFTY SMALLCAP 250,CHALET
NIFTY SMALLCAP 250,ATUL
NIFTY SMALLCAP 250,ABLBL
NIFTY SMALLCAP 250,AFCONS
NIFTY SMALLCAP 250,GLAND
NIFTY SMALLCAP 250,THELEELA
NIFTY SMALLCAP 250,BBTC
NIFTY SMALLCAP 250,MAHSCOOTER
NIFTY SMALLCAP 250,VIJAYA
NIFTY SMALLCAP 250,JUBLPHARMA
NIFTY SMALLCAP 250,GODREJAGRO
NIFTY SMALLCAP 250,CAMPUS
NIFTY SMALLCAP 250,INDIACEM
NIFTY SMALLCAP 250,NIVABUPA
NIFTY SMALLCAP 250,BASF
NIFTY SMALLCAP 250,VGUARD
NIFTY SMALLCAP 250,AKUMS
NIFTY SMALLCAP 250,SUNDRMFAST
NIFTY SMALLCAP 250,BIKAJI
NIFTY SMALLCAP 250,CENTURYPLY
NIFTY SMALLCAP 250,RHIM
NIFTY SMALLCAP 250,NUVOCO
NIFTY SMALLCAP 250,CARBORUNIV
NIFTY SMALLCAP 250,UTIAMC
NIFTY SMALLCAP 250,MINDACORP
NIFTY SMALLCAP 250,EIHOTEL
NIFTY SMALLCAP 250,PFIZER
NIFTY SMALLCAP 250,ASTRAZEN
NIFTY SMALLCAP 250,AGARWALEYE
NIFTY SMALLCAP 250,DCMSHRIRAM
NIFTY SMALLCAP 250,APLLTD
NIFTY SMALLCAP 250,AKZOINDIA
NIFTY SMALLCAP 250,VENTIVE
